SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
10,0,0,0,United States,308745538,308758105,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,1552022,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3824521,3791712,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2824382,2835038,389145,1461043,1435445,1332557,1380747,1292550,1259439,1113819,1000139,956674,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,0,0,0,0,0,0,0,0,0,0,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,0,0,0,0,0,0,0,0,0,0,13325954.57.00,9841841.11.00,8554126.01.00,8273067.26.00,8282475.57.00,5241303.27.00,741911.36.00,12292437.04.00,9650621.29.00,15530603.18.00,79.999.345.814,82.817.297.553,23789741.53.00,84.510.037.858,6676712.48.00,86.064.128.999,86.680.952.767,86.575.691.523,47.063.730.049,45.905.751.698,42.315.170.854,43.536.449.223,765738.11.00,39.138.751.986,34.381.010.758,11575050.55.00,29.214.674.764,24.937.727.756,26.820.827.467,10603126.37.00,29.214.999.476,32.604.352.274,32.527.882.615,28.719.569.192,25651904.35.00,18.180.590.453,0,0,0,0,0,0,0,0,0,24.937.727.756,26.820.827.467,10603126.37.00,29.214.999.476,32.604.352.274,32.527.882.615,28.719.569.192,25651904.35.00,18.180.590.453
20,1,0,0,Northeast Region,55317240,55318443,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,55982803,61691,224089,170993,126590,104205,28673,7646,16910,-12620,-63817,163466,646249,637860,635751,632433,634504,628030,618490,610713,602740,110878,470811,460915,479963,470268,489209,480502,497919,503076,505588,52588,175438,176945,155788,162165,145295,147528,120571,107637,97152,45032,204242,205018,191468,219965,224592,234098,213507,179097,134145,-32807,-154970,-207154,-217700,-275141,-340104,-373661,-316475,-298739,-294331,12225,49272,-2136,-26232,-55176,-115512,-139563,-102968,-119642,-160186,-3122,-621,-3816,-2966,-2784,-1110,-319,-693,-615,-783,1076289.54.00,7563670.47.00,6425498.25.00,5045832.38.00,5438563.56.00,3451929.56.00,574301.12.00,1492162.09.00,12673134.34.00,84.842.767.526,82.764.826.998,85.955.551.358,84.045.603.356,87.327.019.883,85.744.968.188,88.833.546.221,89.750.170.062,433108.28.00,26915100.54.00,29556150.51.00,27.899.741.094,28.981.889.621,25.936.111.874,26.326.183.173,25183800.21.00,19.202.742.836,17.344.015.063,11342581.49.00,36.814.335.184,34.289.596.297,39.311.820.371,1519124.39.00,29574822.23.00,38.091.705.584,32523458.57.00,23.948.172.972,-13210765.34.00,-11996484.32.00,-1497907.53.00,-15287993.31.00,-1184669.18.00,-1113227.22.00,-10770319.31.00,-5493131.28.00,-4242177.01.00,8.879.089.149,-639256.14.00,-7829721.41.00,-16434955.34.00,-1032753.14.00,-817475.11.00,-13950806.13.00,-2240782.52.00,-14328552.24.00
20,2,0,0,Midwest Region,66927001,66929725,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,68329004,44691,183384,178943,223636,184788,115416,126957,139241,109847,92376,212570,834866,830701,830890,836538,838012,831641,818785,801587,792343,140862,586660,584671,605165,596898,626084,619187,640407,627911,622854,71708,248206,246030,225725,239640,211928,212454,178378,173676,169489,24720,114945,118864,124489,132052,140410,143098,124250,94152,85675,-50673,-179592,-184359,-124956,-183669,-234550,-227445,-162183,-157067,-161549,-25953,-64647,-65495,-467,-51617,-94140,-84347,-37933,-62915,-75874,-1064,-175,-1592,-1622,-3235,-2372,-1150,-1204,-914,-1239,7473410.14.00,5882218.56.00,531460.39.00,6086169.02.00,5992260.22.00,4061474.34.00,514058.49.00,12610493.16.00,1006414.08.00,87.474.883.737,86.943.453.163,89.722.447.896,88.229.642.856,92.338.857.312,19311885.27.00,94.098.401.299,34896123.44.00,20280016.12.00,37.009.155.205,36.585.870.997,33.466.244.002,35.422.051.362,20941531.25.00,21302752.15.00,26.210.026.791,25.472.522.471,8036032.37.00,11898433.07.00,17.675.661.384,18.456.880.051,19.519.081.649,11809358.39.00,17789174.18.00,18.256.712.312,13.808.983.024,12.547.080.659,-11297259.08.00,-12358485.19.00,-142102.58.00,-1191464.43.00,-765491.04.00,-5808650.26.00,-6384017.44.00,-5060888.14.00,-6098014.31.00,-16065491.41.00,-16232381.01.00,-115396.35.00,-12716157.45.00,-64740.27.00,-4029731.12.00,-9289495.13.00,-15379247.52.00,-1852879.05.00
20,3,0,0,South Region,114555744,114563030,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,125580448,303650,1139842,1234686,1123192,1259637,1373304,1354419,1190429,1027244,1011015,368759,1509634,1504955,1504774,1525313,1545679,1541412,1519344,1494950,1481244,228435,963051,960791,1011227,1006109,1052226,1058081,1092315,1116929,1122130,140324,546583,544164,493547,519204,493453,483331,427029,378021,359114,67464,279639,338025,323413,358590,422001,428463,395903,299648,242942,91267,312610,344278,300008,374593,453543,441519,366143,348608,407913,158731,592249,682303,623421,733183,875544,869982,762046,648256,650855,4595,1010,8219,6224,7250,4307,1106,1354,967,1046,1293390.37.00,15072487.22.00,12894491.43.00,13639663.11.00,14123269.43.00,11138659.16.00,5961973.16.00,843754.17.00,14047543.06.00,83.426.832.708,82.383.738.526,85.840.656.221,84.551.082.623,87.459.061.929,11599885.56.00,88.844.398.526,57335.29.00,89.716.612.737,47.349.193.866,46.659.746.699,31600530.49.00,43.632.708.088,169152.47.00,39.723.261.604,34.732.778.235,7864161.01.00,28.711.906.523,24.224.465.861,28.984.204.905,27.453.760.778,2251295.09.00,35.075.935.772,35.213.855.177,32.201.117.727,24.154.289.717,19.423.715.017,27.080.665.689,29.520.373.039,25.466.965.965,24665549.23.00,37.697.647.962,36.286.881.536,29.780.562.026,28.100.900.489,32.613.487.432,2175224.15.00,58.504.577.944,52.920.726.743,26916844.32.00,72.773.583.734,25012285.33.00,33028001.53.00,52.255.190.206,33953379.08.00
20,4,0,0,West Region,71945553,71946907,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,78347268,153529,687893,689494,689307,758663,816762,817126,697648,577491,512448,243041,982736,963460,969161,968911,974181,961571,945363,917271,915385,118516,491920,495154,511664,509173,532307,545445,557522,576466,584466,124525,490816,468306,457497,459738,441874,416126,387841,340805,330919,37200,175339,176764,190798,215939,254602,241050,196749,128926,132586,-7787,21952,47235,42648,84217,121111,159587,112515,107198,47967,29413,197291,223999,233446,300156,375713,400637,309264,236124,180553,-409,-214,-2811,-1636,-1231,-825,363,543,562,976,9423110.12.00,290123.41.00,2137755.13.00,16623528.57.00,15524376.49.00,10452382.57.00,4867471.04.00,13812053.29.00,12033724.42.00,67.903.125.546,67.705.890.013,69.310.056.267,68.302.772.493,1099061.33.00,2711101.48.00,72.491.592.445,74.338.514.711,74.844.178.034,67.750.732.778,64.034.774.088,32876490.26.00,2785568.48.00,58.655.186.158,54.644.765.688,7148054.55.00,43.948.710.776,42.376.050.191,24.203.256.892,24.170.185.321,25.845.516.033,28.967.035.545,6327250.32.00,27569407.49.00,25.582.216.167,16.625.728.747,16.978.387.432,5050311.04.00,6.458.773.866,5.777.102.317,21620831.37.00,16.076.502.014,15943659.22.00,14.629.721.381,13.823.781.628,6.142.445.733,27.233.443.532,10482656.07.00,2704366.55.00,4404760.21.00,49.872.850.534,52.610.783.731,3532296.28.00,7491842.35.00,23.120.833.165
40,3,6,1,Alabama,4779736,4780125,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504,14226,59690,59067,57929,58903,59647,59389,58961,58271,57313,11075,48833,48366,50851,49712,51876,51710,53195,53665,53879,3151,10857,10701,7078,9191,7771,7679,5766,4606,3434,924,4665,5817,5046,3684,4580,5777,3011,3379,2772,1244,-1893,-114,2297,-959,-1544,-2157,2298,5279,9387,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,-7,3,115,72,-198,-259,-121,-114,-69,-89,7592001.16.00,4781108.12.00,190031.39.00,3004322.47.00,5096297.15.00,3752524.44.00,1824251.44.00,15635479.02.00,11790718.06.00,3166474.43.00,1014832.08.00,9063335.02.00,4661633.52.00,11709035.13.00,10740648.16.00,15420493.02.00,16574762.18.00,99549.21.00,22.655.314.734,22.259.764.441,7793362.17.00,19.005.612.146,16.032.356.022,15.807.124.672,30704234.49.00,9.436.429.432,7.014.701.253,9.734.461.014,35004595.12.00,7712115.07.00,7.617.960.521,15748335.49.00,31531361.55.00,6.184.014.374,6.922.643.302,5.662.420.464,-6583542.14.00,-395229.54.00,4.762.759.328,-3305114.04.00,-5309045.58.00,-740026.13.00,4.719.649.629,13587028.41.00,19.175.014.754,5.784.335.677,31052296.07.00,15.225.486.174,5.634.892.079,6.263.573.914,7.451.724.354,15061067.43.00,17.737.864.964,24.837.435.218
40,4,9,2,Alaska,710231,710249,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,-3594,2892,11716,11124,11350,11443,11330,11246,10803,10284,10031,920,3937,3940,4039,4024,4350,4447,4463,4664,4819,1972,7779,7184,7311,7419,6980,6799,6340,5620,5212,430,1314,2348,2863,1198,2273,2303,2612,537,659,1168,-892,-1319,-3564,-9641,-8166,-5185,-10753,-10757,-9482,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,-8823,91,17,102,15,239,128,41,45,39,17,5285298.37.00,5271530.08.00,7806146.09.00,8888313.24.00,6256993.56.00,3467443.06.00,978772.02.00,15765496.33.00,11307924.49.00,8052368.31.00,54.248.639.137,55.045.583.985,54.623.779.398,59.031.837.159,2284954.14.00,4395671.44.00,541269.36.00,65.712.859.757,13899595.46.00,98.914.269.939,99.638.094.706,1182009.24.00,787067.22.00,32389341.49.00,85.608.808.255,76.211.708.532,17864795.52.00,18.300.351.383,3881477.04.00,15030747.48.00,16.262.248.439,14097190.13.00,19060546.14.00,35.269.748.764,7.282.150.797,8.986.257.435,-4038450.18.00,-13601504.49.00,-14286733.56.00,-145301.59.00,-136178.54.00,-195212.32.00,-866247.19.00,-978938.56.00,-1549757.19.00,5.877.281.799,6946637.55.00,-15922651.48.00,-768258.35.00,-16618633.58.00,-14955820.52.00,-1654618.31.00,-1431912.48.00,-52047.45.00
40,4,8,4,Arizona,6392017,6392288,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,14884,65471,82335,77786,97649,99263,111396,102936,114016,120693,20934,86097,85577,86093,86129,86764,84957,83021,81767,81942,11505,48174,48754,50612,50236,52846,56032,56333,60127,60523,9429,37923,36823,35481,35893,33918,28925,26688,21640,21419,2550,16489,15100,17997,21312,19511,20062,13385,7937,7782,3122,11062,29844,24050,39948,45561,62320,62686,84113,91017,5672,27551,44944,42047,61260,65072,82382,76071,92050,98799,-217,-3,568,258,496,273,89,177,326,475,6154869.47.00,2296322.31.00,941991.17.00,14841637.22.00,13282781.16.00,5646066.57.00,14546608.45.00,8580529.37.00,5864502.51.00,74.805.422.283,74.847.126.732,76.756.127.016,75.185.713.697,77.943.441.227,229723.55.00,9359506.22.00,84.673.798.792,83.845.793.175,58.887.491.785,56.530.658.974,53.809.059.959,6198774.12.00,437010.29.00,33488961.54.00,38.166.388.751,790856.58.00,29.672.901.938,25.604.405.032,23.181.515.643,12155881.18.00,31610113.23.00,28.777.097.259,29.137.124.577,19.141.828.291,19621230.47.00,13013776.04.00,17.177.265.357,45.816.500.188,36.473.264.339,59.788.177.617,67.198.673.991,8511626.02.00,89.646.966.624,14086783.56.00,10151319.42.00,42.781.670.389,68.998.015.831,63.766.791.919,2807982.44.00,9959627.45.00,1607981.16.00,14648001.32.00,16048907.55.00,11452698.12.00
40,3,7,5,Arkansas,2915918,2916031,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,5933,18703,11497,7236,7992,10656,11870,11427,8388,8071,9438,38453,38594,37978,38225,38796,38612,37737,37239,36640,6979,29455,29772,30994,29967,31318,31134,32340,31743,31322,2459,8998,8822,6984,8258,7478,7478,5397,5496,5318,801,3662,3732,2321,3100,3303,3366,2039,588,268,2469,5996,-1293,-2150,-3371,-106,1069,3981,2294,2515,3270,9658,2439,171,-271,3197,4435,6020,2882,2783,204,47,236,81,5,-19,-43,10,10,-30,1966698.16.00,1643809.47.00,14145259.04.00,14984217.04.00,84469.53.00,15662545.23.00,9955742.32.00,6502073.42.00,262572.32.00,806502.17.00,1741363.11.00,8098148.57.00,1873086.15.00,8918890.08.00,7228435.54.00,13262016.08.00,9358342.31.00,6549478.59.00,11601932.48.00,29.941.466.165,23.628.264.872,27.866.677.285,25.155.413.224,25.060.464.487,13360392.04.00,13810396.51.00,12742804.01.00,12.492.684.598,4443731.01.00,7.852.405.895,7682853.09.00,18517273.37.00,21337086.22.00,6.806.578.179,32606464.16.00,14820868.31.00,7583002.25.00,-731397.11.00,-12123131.19.00,-2292438.28.00,-59429.18.00,3.582.460.088,13.289.351.511,12720957.19.00,8.345.033.801,32.947.664.624,8.277.854.905,9642118.24.00,-1524152.15.00,12574343.41.00,8104476.21.00,159884.49.00,9.588.962.246,9.234.285.911
40,4,9,6,California,37253956,37254519,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,64983,318867,310431,311987,336185,321073,249072,191380,103091,50635,123327,509771,497451,499629,498914,500380,490358,481943,465017,462617,57319,238388,239535,247704,244055,253798,260121,265241,277578,282520,66008,271383,257916,251925,254859,246582,230237,216702,187439,180097,19635,99179,98297,116528,131001,156870,141892,112814,71300,74028,-20356,-51326,-41795,-53692,-46321,-79938,-122369,-137546,-155281,-203414,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,-129386,-304,-369,-3987,-2774,-3354,-2441,-688,-590,-367,-76,10025572.47.00,2705234.42.00,1866219.22.00,16379813.54.00,15175522.14.00,9326166.16.00,4579968.07.00,13324251.16.00,11928454.36.00,63.605.862.018,5633013.38.00,65.005.994.587,63.508.226.931,65.483.569.461,66.624.949.821,67.555.282.026,7221950.04.00,25796159.51.00,4015796.45.00,68.243.328.441,66.113.729.235,66.319.654.207,63.621.736.676,58.970.742.739,55.192.691.648,47.561.227.573,45.609.296.986,26.462.597.904,26.008.911.645,9682159.45.00,6815346.47.00,7912303.07.00,36.342.884.196,28.733.044.991,18.091.835.349,18.747.480.731,-6157710.48.00,-1764593.02.00,-6817693.46.00,-3422826.19.00,-104196.08.00,-2237413.34.00,-8386896.34.00,-15668967.07.00,-252387.05.00,12.767.972.025,14.950.156.421,16.490.313.745,3392520.28.00,19.849.573.148,5.000.437.855,-10498485.15.00,-2182573.52.00,-4611355.57.00
